Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
121, Hùng Vương,Vĩnh Trung,thanh khê,5.4,11.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,16.0,2,"16.06689,108.21214"
122, Tôn Đức Thắng,Hòa Minh,liên chiểu,3.69,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,15.0,3,"16.07067,108.15084"
123, Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,1.75,58.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,1,"16.06926,108.14463"
124, Nại Hiên Đông 8,Nại Hiên Đông,sơn trà,3.18,7.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,18.0,2,"16.09258,108.23111"
125, mt kỳ đồng Kỳ Đồng,Thạc Gián,thanh khê,8.0,85.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3,"16.07002,108.18854"
126, kiệt 70 Nguyễn Du,Thạch Thang,hải châu,3.5,63.0,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,14.0,2,"16.07874,108.21804"
127, Bạch Thái Bưởi,Hòa Khánh Bắc,liên chiểu,5.5,97.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,"16.06913,108.14717"
128, Trần Thủ Độ,Khuê Trung,cẩm lệ,9.7,103.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.3,4,"16.02417,108.21349"
129, An Mỹ,An Hải Tây,sơn trà,4.5,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,15.0,1,"16.06265,108.23121"
130, Hà Huy Tập,Hòa Khê,thanh khê,5.3,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,12.0,2,"16.0704,108.19171"
131, An Thượng 38,Khuê Mỹ,ngũ hành sơn,8.699,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,4,"16.04689,108.24197"
132, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,30.0,336.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.5,32.0,3,"16.05375,108.21903"
133, Vương Thừa Vũ,An Hải Bắc,sơn trà,36.0,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,12.0,19.0,1,"16.08037,108.24486"
134, Nguyễn Văn Linh,Vĩnh Trung,thanh khê,26.5,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,5,"16.05947,108.20843"
136, Hoàng Sĩ Khải,An Hải Bắc,sơn trà,3.4,75.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,2,"16.07566,108.23193"
137, Hà Huy Tập,Hòa Khê,thanh khê,3.75,66.0,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,11.0,3,"16.0704,108.19171"
