Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
9503, Bùi Tá Hán,Khuê Mỹ,ngũ hành sơn,3.85,60.0,Không,Nhà mặt tiền,Không có,4.0,15.0,2,"16.0297,108.24197"
9504, Hồ Hán Thương,Nại Hiên Đông,sơn trà,8.4,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,5,"16.09272,108.23016"
9505, Mai Thúc Lân,Mỹ An,ngũ hành sơn,18.0,136.0,Không,Nhà mặt tiền,Không có,6.0,22.5,3,"16.0472012,108.23857865"
9506, Sơn Thủy Đông 3,Hòa Hải,ngũ hành sơn,8.0,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,5,"16.01511,108.25758"
9507, Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,40.0,330.0,Không,Nhà mặt tiền,Không có,12.0,27.0,5,"16.09447,108.22971"
9508, Trương Định,Mân Thái,sơn trà,8.2,108.0,Không,Nhà mặt tiền,Không có,9.0,12.0,3,"16.08935,108.24592"
9509, Nguyễn Đình Chiểu,Hòa Hải,ngũ hành sơn,5.7,96.0,Không,Nhà mặt tiền,Không có,5.0,19.0,3,"16.02404,108.24569"
9510, Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.7,119.0,Không,Nhà mặt tiền,Không có,5.0,22.0,4,"16.02914,108.24223"
9511, Lý Nhật Quang.,Nại Hiên Đông,sơn trà,12.0,15.0,Không,Nhà mặt tiền,Không có,5.0,30.0,3,"16.09587,108.2288"
9512, Nguyễn Địa Lô,Nại Hiên Đông,sơn trà,3.8,7.0,Không,Nhà mặt tiền,Không có,4.0,18.0,2,"16.09272,108.23492"
9513, An Dương Vương,Khuê Mỹ,ngũ hành sơn,7.5,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3,"16.04387,108.23749"
9514, An Trung Đông 6,An Hải Đông,sơn trà,12.7,76.0,Không,Nhà mặt tiền,Không có,5.0,15.3,3,"16.05975,108.23535"
9515, An Trung 8,An Hải Tây,sơn trà,4.4,60.0,Không,Nhà mặt tiền,Không có,5.5,15.5,2,"16.05655,108.23464"
9516, Đỗ Bá,Khuê Mỹ,ngũ hành sơn,15.8,50.0,Không,Nhà mặt tiền,Không có,5.0,14.0,4,"16.01624489,108.25408173"
9517, Sơn Thủy 2,Khuê Mỹ,ngũ hành sơn,5.2,115.0,Không,Nhà mặt tiền,Không có,5.0,23.0,3,"16.01371,108.25355"
9518, Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.7,110.0,Không,Nhà mặt tiền,Không có,5.0,22.0,3,"16.02914,108.24223"
9519, Lê Phụng Hiểu,An Hải Bắc,sơn trà,8.6,9.0,Không,Nhà mặt tiền,Không có,4.5,20.0,3,"16.08017,108.23"
9520, Mỹ An 25,Mỹ An,ngũ hành sơn,8.5,90.0,Không,Nhà mặt tiền,Không có,6.0,15.0,3,"16.04085,108.23982"
9521, Khái tây 1 Khái Đông 3,Hòa Hải,ngũ hành sơn,3.65,150.0,Không,Nhà mặt tiền,Không có,5.2,30.0,2,"15.9803,108.24939"
9522, Mân Quang 5,Nại Hiên Đông,sơn trà,5.4,103.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3,"16.10262,108.24583"
9523, Nguyễn Công Trứ,Phước Mỹ,sơn trà,17.7,150.0,Không,Nhà mặt tiền,Không có,7.5,20.0,3,"16.06847,108.23054"
9524, Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,7.5,125.0,Không,Nhà mặt tiền,Không có,5.0,25.0,3,"16.09447,108.22971"
9525, An Thượng 34,Khuê Mỹ,ngũ hành sơn,16.5,90.0,Không,Nhà mặt tiền,Không có,4.0,20.0,5,"16.05003,108.24608"
9526, An Thượng 12,Khuê Mỹ,ngũ hành sơn,15.2,185.0,Không,Nhà mặt tiền,Không có,7.5,21.0,3,"16.04766,108.24232"
9527, Dương Trí Trạch,An Hải Bắc,sơn trà,8.5,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3,"16.07451,108.24024"
9528, Trần Hưng Đạo,An Hải Tây,sơn trà,27.5,50.0,Không,Nhà mặt tiền,Không có,10.0,25.0,3,"16.08968,108.22756"
9529, Nguyễn Duy Hiệu,An Hải Đông,sơn trà,16.3,106.0,Không,Nhà mặt tiền,Không có,,,6,"16.05584,108.23943"
9530, Trần Hưng Đạo,An Hải Tây,sơn trà,23.8,105.0,Không,Nhà mặt tiền,Không có,5.0,21.0,9,"16.08968,108.22756"
9531, Mai Thúc Lân,Khuê Mỹ,ngũ hành sơn,17.0,147.0,Không,Nhà mặt tiền,Không có,,,2,"16.0472012,108.23857865"
9532, Đỗ Bá,Khuê Mỹ,ngũ hành sơn,18.2,80.0,Không,Nhà mặt tiền,Không có,,,3,"16.05193,108.24696"
9533, Bà Huyện Thanh Quan,Khuê Mỹ,ngũ hành sơn,37.0,41.0,Không,Nhà mặt tiền,Không có,,,1,"16.04376,108.24501"
9534, Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,40.0,326.0,Không,Nhà mặt tiền,Không có,,,5,"16.09447,108.22971"
9535, Đỗ Huy Uyển,An Hải Bắc,sơn trà,11.6,100.0,Không,Nhà mặt tiền,Không có,,,4,"16.07546,108.23242"
9536, An Hải 4,An Hải Bắc,sơn trà,5.2,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3,"16.08251,108.23299"
9537, Chính Hữu,An Hải Bắc,sơn trà,21.0,127.0,Không,Nhà mặt tiền,Không có,7.5,16.0,6,"16.10449,108.26139"
9538, Lê Văn Thiêm,An Hải Bắc,sơn trà,11.7,114.0,Không,Nhà mặt tiền,Không có,5.5,11.7,4,"16.08224,108.23344"
9539, Phan Tứ,Mỹ An,ngũ hành sơn,32.0,65.0,Không,Nhà mặt tiền,Không có,8.5,37.0,1,"16.04607,108.24456"
9540, Phạm Văn Xảo,An Hải Bắc,sơn trà,8.6,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,2,"16.09112,108.23913"
9541, Trương Hán Siêu,An Hải Bắc,sơn trà,7.2,64.0,Không,Nhà mặt tiền,Không có,5.0,12.0,2,"16.07995,108.23085"
9542, Nguyễn Xuân Khoát,An Hải Bắc,sơn trà,12.5,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,4,"16.06982,108.23675"
9543, Dương Khuê,Mỹ An,ngũ hành sơn,12.0,111.0,Không,Nhà mặt tiền,Không có,10.0,21.0,3,"15.98459,108.23607"
9544, An Hải 20,Nại Hiên Đông,sơn trà,6.8,83.0,Không,Nhà mặt tiền,Không có,5.0,18.0,3,"16.08862,108.23786"
9545, Trần Văn Dư,Mỹ An,ngũ hành sơn,27.0,96.0,Không,Nhà mặt tiền,Không có,14.0,20.0,4,"16.04149,108.24495"
9546, Vũ Duy Đoán,Hòa Quý,ngũ hành sơn,14.5,105.0,Không,Nhà mặt tiền,Không có,6.0,20.0,3,"16.01991,108.25572"
9547, Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,40.0,326.0,Không,Nhà mặt tiền,Không có,12.0,40.0,5,"16.09447,108.22971"
9548, Nguyễn Thiện Kế,An Hải Tây,sơn trà,6.8,73.0,Không,Nhà mặt tiền,Không có,5.0,17.5,3,"16.06034,108.23891"
9549, Vùng Trung 17,Hòa Quý,ngũ hành sơn,11.0,800.0,Không,Nhà mặt tiền,Không có,5.0,20.0,8,"15.98977,108.26162"
9550, Bạch Đằng,Hải Châu I,hải châu,38.0,170.0,Không,Nhà mặt tiền,Không có,6.6,24.5,2,"16.08728,108.2213"
9551, Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,26.9,150.0,Không,Nhà mặt tiền,Không có,5.0,34.0,5,"16.04376,108.24501"
9552, Dương Lâm,Nại Hiên Đông,sơn trà,7.1,118.0,Không,Nhà mặt tiền,Không có,5.0,23.0,3,"16.06168,108.24547"
9553, Hải Triều,Hòa Hải,ngũ hành sơn,5.6,130.0,Không,Nhà mặt tiền,Không có,7.5,20.0,3,"16.01137,108.25418"
9554, Trương Quốc Dụng Trương Quốc Dụng,Nại Hiên Đông,sơn trà,10.0,144.0,Không,Nhà mặt tiền,Không có,6.0,24.0,4,"16.09508,108.22707"
9555, An Thượng 38,Khuê Mỹ,ngũ hành sơn,8.8,60.0,Không,Nhà mặt tiền,Không có,5.0,16.0,3,"16.04689,108.24197"
9556, Chế Lan Viên,Mỹ An,ngũ hành sơn,6.99,116.0,Không,Nhà trong hẻm,Không có,7.7,18.0,3,"16.04228,108.24575"
9557, Nguyễn Văn Thoại,Mỹ An,ngũ hành sơn,6.5,17.0,Không,Nhà trong hẻm,Không có,7.5,24.0,1,"16.05129,108.24253"
9558, Nguyễn Văn Thoại,An Hải Đông,sơn trà,6.4,80.0,Không,Nhà trong hẻm,Không có,5.5,15.0,2,"16.05747,108.24433"
9559, Lâm Hoành,An Hải Tây,sơn trà,4.2,67.0,Không,Nhà trong hẻm,Không có,4.0,16.5,3,"16.06168,108.24547"
9560, An Hải 20,Nại Hiên Đông,sơn trà,6.4,85.0,Không,Nhà mặt tiền,Không có,5.0,17.5,3,"16.08862,108.23786"
9561, Phạm Cự Lượng,An Hải Đông,sơn trà,22.0,85.0,Không,Nhà mặt tiền,Không có,,,,"16.06044,108.23629"
9562, Hoàng Thị Loan,Hòa Minh,liên chiểu,4.25,107.0,Không,Nhà mặt tiền,Không có,10.0,,3,"16.06794,108.16961"
9563, Nguyễn Văn Linh,Nam Dương,hải châu,4.15,68.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,2,"16.06072,108.21685"
9564, Bình Thái 4,Hòa Thọ Đông,cẩm lệ,3.1,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.01393,108.20296"
9565, Nguyễn Phước Nguyên,An Khê,thanh khê,7.89,160.0,Không,Nhà mặt tiền,Không có,7.0,,2,"16.05452,108.18347"
9566, Bình Thái 4,Hòa Thọ Đông,cẩm lệ,3.1,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.01393,108.20296"
9567, Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,5.7,108.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,4,"16.01108,108.19622"
9568, Núi Thành,Hòa Cường Nam,hải châu,12.5,103.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,11.0,,1,"16.03194,108.22279"
9569, Bình Thái 2,Hòa Thọ Đông,cẩm lệ,5.5,121.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,,3,"16.01648,108.20399"
9570, Thanh Lương 1,Hòa Xuân,cẩm lệ,3.8,100.0,Không,Nhà mặt tiền,Không có,5.0,,2,"16.00706,108.21881"
9571, Kỳ Đồng,An Khê,thanh khê,3.6,65.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.0714016,108.19120789"
9572, Tiểu La,Hòa Cường Bắc,hải châu,4.7,56.0,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.25,12.0,4,"16.04649,108.22182"
9573, Thái Thị Bôi,Chính Gián,thanh khê,2.95,56.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.1,14.0,2,"16.06831,108.1972"
9574, Võ Nguyên Giáp,Hòa Hải,ngũ hành sơn,5.0,90.0,Không,Nhà mặt tiền,Không có,,,4,"16.03004,108.25414"
9575, Mai Lão Bạng,Thuận Phước,hải châu,3.7,51.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,3.5,16.0,4,"16.08414,108.21865"
9576, Trưng Nữ Vương,Hòa Thuận Đông,hải châu,4.0,55.0,Không,Nhà trong hẻm,Không có,5.0,,2,"16.05375,108.21903"
9577, Dương Quảng Hàm,Hòa Cường Nam,hải châu,5.5,74.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.5,3,"16.07505,108.22114"
9578, Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,7.7,90.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,20.0,3,"16.04088,108.21625"
9579, Lê Hữu Trác,An Hải Đông,sơn trà,3.7,87.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,2,"16.05862,108.23956"
9580, Trưng Nhị,Hòa Thuận Tây,hải châu,4.85,85.0,Không,Nhà trong hẻm,Không có,5.0,,2,"16.04512,108.21105"
9581, Lưu Quý Kỳ,Hòa Cường Nam,hải châu,5.3,67.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,15.0,3,"16.03605,108.22335"
9582, Triệu Nữ Vương,Nam Dương,hải châu,4.0,6.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,3.0,21.0,4,"16.06485,108.21649"
9583, 2/9,Hòa Cường Bắc,hải châu,190.0,1.258,Không,Nhà mặt tiền,Giấy tờ hợp lệ,35.0,36.0,3,"16.08311,108.22194"
9584, Nguyễn Xuân Ôn,Hòa Cường Nam,hải châu,11.5,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,4,"16.04252,108.21294"
9585, 3/2,Thuận Phước,hải châu,19.0,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,3,"16.08332,108.2223"
9586, Nguyễn Lộ Trạch Nguyễn Lộ Trạch,Hòa Cường Nam,hải châu,15.3,120.0,Không,Nhà mặt tiền,Không có,6.0,20.0,3,"16.03258,108.22856"
9587, 2/9,Hòa Cường Nam,hải châu,18.5,159.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.7,21.0,3,"16.08311,108.22194"
9588, Cần Giuộc,An Khê,thanh khê,6.9,106.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,21.2,3,"16.05659,108.18494"
9589, Hoàng Diệu,Bình Thuận,hải châu,28.0,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.5,17.0,4,"16.05467,108.21737"
9590, Trưng Nữ Vương,Hòa Thuận Đông,hải châu,14.5,116.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.7,17.5,3,"16.05375,108.21903"
9591, Núi Thành,Hòa Cường Bắc,hải châu,24.0,329.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,47.0,,"16.03194,108.22279"
9592, Đinh Thị Vân,An Khê,thanh khê,7.7,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,22.0,3,"16.04325,108.18692"
9593, Bùi Viện,Hòa Cường Nam,hải châu,17.5,140.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,8.0,17.5,5,"16.03097,108.2322"
9594, Lý Thường Kiệt,Thạch Thang,hải châu,11.0,36.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.45,6.2,4,"16.08023,108.22087"
9595, Nước Mặn 1,Hòa Hải,ngũ hành sơn,20.9,183.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,18.3,3,"16.02157,108.25084"
9596, Phan Trọng Tuệ,Hòa Cường Nam,hải châu,7.0,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,3,"16.03274,108.21866"
9597, Đặng Tử Kính,Hải Châu I,hải châu,15.5,94.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,13.0,4,"16.07979,108.2222"
9598, Thanh Thủy,Thanh Bình,hải châu,12.0,110.0,Không,Nhà mặt tiền,Không có,,,,"16.08232,108.21374"
9600, Trần Cao Vân,Xuân Hà,thanh khê,8.0,178.0,Không,Nhà trong hẻm,Không có,,,,"16.0738,108.20758"
9601, 354 Tô Hiệu,Hòa Minh,liên chiểu,,66.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.1,14.7,3,"16.06424,108.16672"
9602, Thủ Khoa Huân,An Hải Đông,sơn trà,5.999,10.0,Không,Nhà mặt tiền,Không có,4.3,23.7,2,"16.05639,108.24142"
9603, Hồ Nghinh,Phước Mỹ,sơn trà,30.0,50.0,Không,Nhà mặt tiền,Không có,5.0,50.0,7,"16.07304,108.24303"
9604, Nguyễn Phong Sắc,Khuê Trung,cẩm lệ,3.45,114.0,Không,Nhà trong hẻm,Không có,4.0,,2,"16.02711,108.21174"
9605, Nguyễn Phong Sắc,Khuê Trung,cẩm lệ,3.45,114.0,Không,Nhà trong hẻm,Không có,4.0,,2,"16.02711,108.21174"
9606, Nguyễn Hoàng,Nam Dương,hải châu,6.8,80.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,2,"16.05469,108.21202"
9607, Nguyễn Văn Linh,Nam Dương,hải châu,4.15,70.0,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,3,"16.06072,108.21685"
9608, Lý Tự Trọng,Hải Châu I,hải châu,5.3,65.0,Không,Nhà trong hẻm,Không có,6.5,,4,"16.07853,108.21389"
9609, Đinh Tiên Hoàng,Thanh Bình,hải châu,3.85,50.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,3,"16.07507,108.20968"
9610, Lê Đại Hành,Hòa Phát,cẩm lệ,4.45,104.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,21.0,3,"16.02205,108.20023"
9611, Đại lộ Thăng Long,Khuê Trung,cẩm lệ,4.3,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.00903,108.20225"
9612, Phú Lộc,Hòa Minh,liên chiểu,4.95,80.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.07627,108.16626"
9613, Đinh Tiên Hoàng,Tam Thuận,thanh khê,4.95,50.0,Không,Nhà mặt tiền,Không có,8.0,,2,"16.07516,108.20869"
9614, Hà Đặc,An Hải Bắc,sơn trà,7.2,64.0,Không,Nhà mặt tiền,Không có,4.5,15.0,2,"16.06596,108.24267"
9615, Nguyễn Văn Thoại,Phước Mỹ,sơn trà,12.0,124.0,Không,Nhà mặt tiền,Không có,5.0,24.0,2,"16.05747,108.24433"
9616, Mỹ An 17,Mỹ An,ngũ hành sơn,8.5,100.0,Không,Nhà mặt tiền,Không có,5.0,22.0,6,"16.03898,108.23831"
9617, Tố Hữu,Hòa Cường Bắc,hải châu,17.5,155.0,Không,Nhà mặt tiền,Không có,8.0,19.0,3,"16.03441,108.21851"
9618, An Nhơn 1,An Hải Bắc,sơn trà,7.5,70.0,Không,Nhà mặt tiền,Không có,4.0,15.0,3,"16.07063,108.23322"
9619, Mân Quang 7,Nại Hiên Đông,sơn trà,5.2,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3,"16.09356,108.24299"
9620, Ngô Quyền,An Hải Bắc,sơn trà,11.5,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3,"16.09631,108.24529"
9622, Dương Đình Nghệ,An Hải Bắc,sơn trà,14.0,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,4,"16.06888,108.24414"
9623, Mỹ An 17,Mỹ An,ngũ hành sơn,8.5,110.0,Không,Nhà mặt tiền,Không có,5.0,22.0,6,"16.03898,108.23831"
9624, Nguyễn Xuân Khoát,An Hải Bắc,sơn trà,10.0,110.0,Không,Nhà mặt tiền,Không có,,22.0,3,"16.06982,108.23675"
9625, Tôn Quang Phiệt,An Hải Bắc,sơn trà,7.2,90.0,Không,Nhà mặt tiền,Không có,4.5,20.0,3,"16.08849,108.23516"
9626, Chế Lan Viên,Mỹ An,ngũ hành sơn,4.5,60.0,Không,Nhà trong hẻm,Không có,5.0,12.0,3,"16.04228,108.24575"
9627, Ông Ích Khiêm,Thanh Bình,hải châu,4.85,54.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,12.0,3,"16.07838,108.21186"
9628, Trần Cao Vân,Thanh Bình,hải châu,2.55,37.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,4.1,9.0,4,"16.03767,108.21556"
9629, Hà Huy Tập,Hòa Khê,thanh khê,3.8,81.0,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,20.2,2,"16.0704,108.19171"
9630, Xô Viết Nghệ Tĩnh,Hòa Cường Nam,hải châu,19.0,103.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,11.0,9.5,4,"16.03246,108.21877"
9631, Đào Duy Từ,Vĩnh Trung,thanh khê,5.0,55.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.2,11.0,3,"16.06817,108.21325"
9632, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,27.0,50.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,25.0,2,"16.03954,108.21035"
9633, Cù Chính Lan,Hòa Khê,thanh khê,2.85,55.0,Tây Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,14.0,3,"16.0714016,108.19120789"
9634, Hoàng Diệu,Bình Hiên,hải châu,5.35,54.0,Tây Bắc,Nhà trong hẻm,Không có,4.2,13.0,4,"16.05467,108.21737"
9635, Hùng Vương,Vĩnh Trung,thanh khê,3.09,49.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,12.0,3,"16.06689,108.21214"
9636, Lý Triện,An Khê,thanh khê,7.4,81.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,18.0,3,"16.05945,108.18524"
9637, Cù Chính Lan,Hòa Khê,thanh khê,5.0,57.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,14.2,3,"16.0714016,108.19120789"
9638, Lý Đạo Thành,An Hải Bắc,sơn trà,7.0,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.08806,108.23958"
9639, Lê Lâm,Phước Mỹ,sơn trà,8.0,101.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,16.8,3,"16.08261,108.24519"
9640, Nguyễn Công Trứ,Phước Mỹ,sơn trà,20.5,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,20.0,3,"16.06847,108.23054"
9641, Chính Hữu,Phước Mỹ,sơn trà,21.0,127.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.6,16.0,6,"16.10449,108.26139"
9642, Trần Quốc Hoàn,Khuê Mỹ,ngũ hành sơn,13.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,5,"16.01415,108.25805"
9643, 1 Tôn Đản,Hòa Thọ Tây,cẩm lệ,2.55,80.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,420.0,19.0,2,"16.06014,108.176847"
9644, 0 Phú Xuân 8,Hòa Minh,liên chiểu,5.6,75.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.0,3,"16.0733,108.16618"
9645, Dương Đức Hiền,Hòa Minh,liên chiểu,4.8,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.0,3,"16.08288,108.16057"
9646, Trần Cao Vân,An Khê,thanh khê,3.75,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,8.0,10.0,3,"16.0738,108.20758"
9647, Hàn Mạc Tử,Thuận Phước,hải châu,4.8,64.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,3.8,17.0,3,"16.08542,108.21743"
9649, Tôn Đản,Hòa An,cẩm lệ,2.48,75.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,1,"16.04509,108.18114"
9650, Nguyễn Công Trứ,Phước Mỹ,sơn trà,4.5,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,3,"16.06847,108.23054"
9651, Nại Nghĩa 5,Nại Hiên Đông,sơn trà,2.85,65.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,1,"16.08461,108.23047"
9652, Nguyễn Công Trứ,Phước Mỹ,sơn trà,7.5,186.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,12.0,18.0,1,"16.06847,108.23054"
9653, Bùi Hữu Nghĩa,Phước Mỹ,sơn trà,4.8,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,1,"16.06569,108.24129"
9654, Hoàng Diệu,Bình Thuận,hải châu,4.4,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,3,"16.05467,108.21737"
9655, Tôn Đản,Hòa An,cẩm lệ,4.5,110.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,,,3,"16.04509,108.18114"
9656, Phạm Cự Lượng,An Hải Bắc,sơn trà,11.5,110.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,21.0,4,"16.06044,108.23629"
9657, Phan Thanh,Thạch Thang,hải châu,3.5,55.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,11.0,3,"16.05403,108.22089"
9658, Lê Đình Dương,Hải Châu I,hải châu,13.5,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.7,3,"16.06251,108.21658"
9659, Hoàng Diệu,Nam Dương,hải châu,4.5,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.2,14.2,3,"16.05467,108.21737"
9660, Thế Lữ,An Hải Bắc,sơn trà,10.5,95.0,Đông Nam,Nhà mặt tiền,Không có,5.0,18.6,4,"16.08281,108.23586"
9661, Trương Định,Mân Thái,sơn trà,7.8,95.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,7.15,14.5,3,"16.08935,108.24592"
9662, Phạm Hùng,Xã Hòa Phước,hòa vang,6.8,100.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"15.98264,108.20803"
9663, Trần Cao Vân,Tam Thuận,thanh khê,3.7,67.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,16.0,3,"16.0738,108.20758"
9664, Trần Cao Vân,Xuân Hà,thanh khê,3.25,54.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,12.0,2,"16.0738,108.20758"
9665, Phan Thúc Duyện,Mỹ An,ngũ hành sơn,2.85,53.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,10.0,1,"16.05316,108.24145"
9666, Đinh Tiên Hoàng,Thanh Bình,hải châu,3.97,65.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,12.0,4,"16.07507,108.20968"
9667, Đinh Tiên Hoàng,Thanh Bình,hải châu,3.85,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,12.0,3,"16.07507,108.20968"
9668, Lê Hữu Trác,An Hải Đông,sơn trà,5.25,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,23.0,1,"16.05862,108.23956"
9669, Ông Ích Khiêm,Thạch Thang,hải châu,4.95,55.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,11.0,4,"16.07838,108.21186"
9670, Phạm Cự Lượng,An Hải Đông,sơn trà,3.25,76.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,2,"16.06044,108.23629"
9671, Đỗ Quang,Vĩnh Trung,thanh khê,9.0,55.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,11.0,3,"16.06012,108.21207"
9672, Lê Hữu Trác,An Hải Đông,sơn trà,5.5,90.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,,,1,"16.05862,108.23956"
9673, Phan Thúc Duyện,Mỹ An,ngũ hành sơn,3.0,53.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,10.0,1,"16.05316,108.24145"
9674, Mẹ Nhu,Thanh Khê Tây,thanh khê,6.3,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.0669,108.17988"
