Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Ngô Thì Hương,Nại Hiên Đông,sơn trà,-0.001883917,0.331876499,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,3,"16.09753,108.23206"
 Nguyễn Công Trứ,Phước Mỹ,sơn trà,0.856538677,0.567753953,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,1.237458514,1,"16.06847,108.23054"
 Trương Định,Nại Hiên Đông,sơn trà,0.509237258,0.246102879,Không,Nhà mặt tiền,Giấy tờ hợp lệ,2.646793361,-0.172466208,3,"16.08935,108.24592"
 Lâm Hoành,Phước Mỹ,sơn trà,-0.642506179,-0.311425648,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,0.109518737,3,"16.06168,108.24547"
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,1.442184391,0.867961621,Không,Nhà mặt tiền,Không có,-0.384833433,1.237458514,4,"16.03954,108.21035"
 Nguyễn Tất Thành,Tam Thuận,thanh khê,-0.618540301,-0.740293746,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,-0.454451152,3,"16.07765,108.17369"
 Ngô Chi Lan,Thuận Phước,hải châu,-0.965669613,-0.504416292,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.953263456,0.532496153,2,"16.06903,108.21546"
 Hải Phòng,Tân Chính,thanh khê,-0.965669613,-0.826067366,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,-0.595443624,3,"16.07085,108.20893"
 Lê Hữu Khánh,Khuê Mỹ,ngũ hành sơn,1.351609949,0.061022648,Không,Nhà mặt tiền,Giấy tờ hợp lệ,1.509933313,-1.055517609,3,"16.02931,108.2398"
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,-0.906740864,0.524867143,Không,Nhà trong hẻm,Giấy tờ hợp lệ,1.676788939,-0.815348666,1,"16.10053,108.25114"
 An Trung,An Hải Tây,sơn trà,-0.594973102,-0.633076722,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.530793076,-1.241725132,2,"16.05658,108.23506"
 Phạm Hùng,Xã Hòa Châu,hòa vang,0.36103483,0.481980333,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.743984861,2,"15.98264,108.20803"
 Mỹ Khê 4,Phước Mỹ,sơn trà,-0.906740864,-0.01121798,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.574310107,0.391503681,2,"16.06396,108.24034"
 Dũng Sĩ Thanh Khê,Thanh Khê Tây,thanh khê,-1.452973948,-0.783180556,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,-0.595443624,2,"16.07597,108.17332"
 Kinh Dương Vương,Hòa Minh,liên chiểu,0.371404405,0.010225425,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.109518737,3,"16.07745,108.16551"
 Bằng Lăng 1,An Hải Tây,sơn trà,0.963634763,0.331876499,Tây Bắc,Nhà mặt tiền,Không có,-0.384833433,0.532496153,3,"16.08923,108.24709"
 Lý Tự Trọng,Hải Châu I,hải châu,-0.001883917,-0.547303102,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,0.069910586,-0.942285106,3,"16.07853,108.21389"
