Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors
 Nguyễn Công Trứ,Phước Mỹ,sơn trà,9.99,111.0,Tây Nam,True,True,4.5,25.0,1
 Trương Định,Nại Hiên Đông,sơn trà,7.7,96.0,Không,True,True,13.0,15.0,3
 Lâm Hoành,Phước Mỹ,sơn trà,3.8,70.0,Không,False,True,4.0,17.0,3
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,17.0,125.0,Không,True,False,5.0,25.0,4
 Nguyễn Tất Thành,Tam Thuận,thanh khê,3.85,50.0,Tây Nam,False,True,4.0,13.0,3
 Ngô Chi Lan,Thuận Phước,hải châu,3.2,61.0,Không,True,True,3.5,20.0,2
 Hải Phòng,Tân Chính,thanh khê,3.2,46.0,Đông,False,True,4.0,12.0,3
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,3.3,109.0,Không,False,True,54.5,54.5,1
 An Trung,An Hải Tây,sơn trà,3.9,55.0,Không,True,True,27.5,27.5,2
 Phạm Hùng,Xã Hòa Châu,huyện hòa vang,6.95,107.0,Đông,True,True,5.0,21.5,2
 Mỹ Khê 4,Phước Mỹ,sơn trà,3.3,84.0,Không,False,True,4.5,19.0,2
 Dũng Sĩ Thanh Khê,Thanh Khê Tây,thanh khê,2.5,48.0,Đông Bắc,False,True,4.0,12.0,2
 Kinh Dương Vương,Hòa Minh,liên chiểu,6.999,85.0,Không,True,True,5.0,17.0,3
 Bằng Lăng 1,An Hải Tây,sơn trà,10.9,100.0,Tây Bắc,True,False,5.0,20.0,3
 Lý Tự Trọng,Hải Châu I,hải châu,5.5,59.0,Tây,False,True,6.2,9.54,3
 Xuân Đán 2,Xuân Hà,thanh khê,5.1,89.0,Đông,True,True,5.0,17.8,1
 An Thượng 18,Mỹ An,ngũ hành sơn,4.5,40.0,Bắc,True,True,4.0,10.0,1
 Tố Hữu,Hòa Cường Nam,hải châu,7.8,100.0,Bắc,True,True,5.0,20.0,1
 Phan Thị Nể,Hòa Minh,liên chiểu,4.5,81.0,Đông Nam,True,True,4.5,18.0,3
 Phú Xuân 1,Hòa Minh,liên chiểu,3.5,100.0,Tây Nam,True,True,5.0,20.0,1
 Nguyễn Bỉnh Khiêm,An Hải Tây,sơn trà,6.0,5.0,Tây,True,True,5.3,9.57,3
 Ngô Quyền,An Hải Bắc,sơn trà,4.5,140.0,Không,True,False,6.0,23.333333333333332,2
 Nại Hiên Đông,Nại Hiên Đông,sơn trà,3.6,68.0,Tây Bắc,True,True,4.5,15.0,2
 Bùi Dương Lịch,Nại Hiên Đông,sơn trà,4.45,7.0,Đông Nam,True,True,4.0,16.0,3
 12 Cao Sơn Pháo,Hòa An,cẩm lệ,3.8,61.0,Đông Nam,True,True,6.0,10.0,3
 12 Cù Chính Lan,Hòa Khê,thanh khê,5.9,78.0,Đông Bắc,True,True,4.5,17.0,3
 Hùng Vương,Vĩnh Trung,thanh khê,5.4,11.0,Không,True,True,7.0,16.0,2
 Tôn Đức Thắng,Hòa Minh,liên chiểu,3.69,60.0,Không,False,True,4.0,15.0,3
 Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,1.75,58.0,Không,False,True,29.0,29.0,1
 Nại Hiên Đông 8,Nại Hiên Đông,sơn trà,3.18,7.0,Đông,True,True,4.0,18.0,2
 mt kỳ đồng Kỳ Đồng,Thạc Gián,thanh khê,8.0,85.0,Nam,True,True,5.0,17.0,3
 kiệt 70 Nguyễn Du,Thạch Thang,hải châu,3.5,63.0,Đông Nam,False,True,4.3,14.0,2
 Bạch Thái Bưởi,Hòa Khánh Bắc,liên chiểu,5.5,97.0,Tây Bắc,True,True,5.0,19.0,3
 Trần Thủ Độ,Khuê Trung,cẩm lệ,9.7,103.0,Đông Nam,True,True,5.0,20.3,4
 An Mỹ,An Hải Tây,sơn trà,4.5,60.0,Không,True,True,4.0,15.0,1
 Hà Huy Tập,Hòa Khê,thanh khê,5.3,85.0,Không,True,True,7.0,12.0,2
 An Thượng 38,Khuê Mỹ,ngũ hành sơn,8.699,60.0,Không,True,True,4.5,15.0,4
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,30.0,336.0,Không,True,True,9.5,32.0,3
 Nguyễn Văn Linh,Vĩnh Trung,thanh khê,26.5,110.0,Không,True,True,55.0,55.0,5
 Hoàng Sĩ Khải,An Hải Bắc,sơn trà,3.4,75.0,Không,False,True,37.5,37.5,2
 Hà Huy Tập,Hòa Khê,thanh khê,3.75,66.0,Bắc,False,True,6.0,11.0,3
 K23.35 Nguyễn Văn Huề,Thanh Khê Tây,thanh khê,2.3,64.0,Không,False,True,9.4,8.0,2
 Tô Hiệu,Hòa Minh,liên chiểu,3.2,60.0,Không,True,True,6.0,10.0,3
 Phạm Như Xương,Hòa Khánh Nam,liên chiểu,1.45,65.0,Tây Nam,False,True,5.5,11.818181818181818,1
 Hàn Thuyên,Hòa Cường Bắc,hải châu,7.95,108.0,Không,True,True,4.5,24.0,3
 Quốc lộ 1A,Xã Hòa Phước,huyện hòa vang,2.0,121.0,Không,False,False,60.5,60.5,2
 Phan Đăng Lưu,Hòa Cường Nam,hải châu,7.6,78.0,Không,True,False,39.0,39.0,3
 Mai Đăng Chơn,Hòa Quý,ngũ hành sơn,15.0,370.0,Không,True,False,185.0,185.0,3
 Nguyễn Hữu Thọ,Hòa Cường Nam,hải châu,52.0,500.0,Tây Bắc,True,True,20.0,25.0,3
