Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Dương Vân Nga,Nại Hiên Đông,sơn trà,15,150,Không,Nhà mặt tiền,Giấy tờ hợp lệ,21,,6,"16.09172,108.23162"
 Ngô Thì Sĩ,Mỹ An,ngũ hành sơn,15.799,106,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,4,"16.04771,108.24537"
 Trường Thi 4 Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,6.2,90,Không,Nhà mặt tiền,Không có,5,18,3,"16.06008,108.21539"
 Đinh Núp,An Khê,thanh khê,5.2,81,Không,Nhà mặt tiền,Không có,4.5,18,3,"16.06318,108.18303"
 Lê Thanh Nghị,Hòa Cường Nam,hải châu,12.5,70,Không,Nhà mặt tiền,Không có,5,14,4,"16.03029,108.21903"
 Phạm Nhữ Tăng,Hòa Khê,thanh khê,5.7,75,Không,Nhà mặt tiền,Không có,4.87,15.5,3,"16.06307,108.18955"
 Sơn Thủy 2,Hòa Hải,ngũ hành sơn,5,115,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,,2,"16.01371,108.25355"
 Điện Biên Phủ,Chính Gián,thanh khê,3.6,40,Không,Nhà trong hẻm,Không có,,,3,"16.06715,108.196"
 Đỗ Bá,Mỹ An,ngũ hành sơn,12.5,71,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,11,,,"16.05193,108.24696"
 Hùng Vương,Hải Châu II,hải châu,11,69,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,3.65,18.5,1,"16.06859,108.221"
 Ngô Thì Hương,Nại Hiên Đông,sơn trà,5.5,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.09753,108.23206"
 Nguyễn Công Trứ,Phước Mỹ,sơn trà,9.99,111,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,25,1,"16.06847,108.23054"
 Trương Định,Nại Hiên Đông,sơn trà,7.7,96,Không,Nhà mặt tiền,Giấy tờ hợp lệ,13,15,3,"16.08935,108.24592"
 Lâm Hoành,Phước Mỹ,sơn trà,3.8,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,17,3,"16.06168,108.24547"
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,17,125,Không,Nhà mặt tiền,Không có,5,,4,"16.03954,108.21035"
 Nguyễn Tất Thành,Tam Thuận,thanh khê,3.85,50,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4,13,3,"16.07765,108.17369"
 Ngô Chi Lan,Thuận Phước,hải châu,3.2,61,Không,Nhà mặt tiền,Giấy tờ hợp lệ,3.5,20,,"16.06903,108.21546"
 Hải Phòng,Tân Chính,thanh khê,3.2,46,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,4,12,3,"16.07085,108.20893"
 Lê Hữu Khánh,Khuê Mỹ,ngũ hành sơn,15.5,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10,,3,"16.02931,108.2398"
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,3.3,109,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,1,"16.10053,108.25114"
 An Trung,An Hải Tây,sơn trà,3.9,55,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,2,"16.05658,108.23506"
 Phạm Hùng,Xã Hòa Châu,hòa vang,6.95,107,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,21.5,2,"15.98264,108.20803"
 Mỹ Khê 4,Phước Mỹ,sơn trà,3.3,84,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,19,2,"16.06396,108.24034"
 Dũng Sĩ Thanh Khê,Thanh Khê Tây,thanh khê,2.5,48,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4,12,2,"16.07597,108.17332"
 Kinh Dương Vương,Hòa Minh,liên chiểu,6.999,85,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,17,3,"16.07745,108.16551"
 Bằng Lăng 1,An Hải Tây,sơn trà,10.9,100,Tây Bắc,Nhà mặt tiền,Không có,5,20,3,"16.08923,108.24709"
 Lý Tự Trọng,Hải Châu I,hải châu,5.5,59,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,6.2,9.54,3,"16.07853,108.21389"
 Xuân Đán 2,Xuân Hà,thanh khê,5.1,89,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,17.8,1,"16.07082,108.19384"
 An Thượng 18,Mỹ An,ngũ hành sơn,4.5,40,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4,10,1,"16.04836,108.24055"
 Tố Hữu,Hòa Cường Nam,hải châu,7.8,100,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,1,"16.03441,108.21851"
 Phan Thị Nể,Hòa Minh,liên chiểu,4.5,81,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.07961,108.16322"
 Phú Xuân 1,Hòa Minh,liên chiểu,3.5,100,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,1,"16.07302,108.16626"
 Nguyễn Bỉnh Khiêm,An Hải Tây,sơn trà,6,5,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.3,9.57,3,"16.06415,108.23249"
 Ngô Quyền,An Hải Bắc,sơn trà,4.5,140,Không,Nhà mặt tiền,Không có,6,,2,"16.09631,108.24529"
 Nại Hiên Đông,Nại Hiên Đông,sơn trà,3.6,68,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15,2,"16.08794594,108.2298584"
 Bùi Dương Lịch,Nại Hiên Đông,sơn trà,4.45,7,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4,16,3,"16.0895,108.23283"
 12 Cao Sơn Pháo,Hòa An,cẩm lệ,3.8,61,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,6,10,3,"16.05826,108.17668"
 12 Cù Chính Lan,Hòa Khê,thanh khê,5.9,78,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,17,3,"16.0714016,108.19120789"
 Hùng Vương,Vĩnh Trung,thanh khê,5.4,11,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,16,2,"16.06689,108.21214"
