 Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Bùi Xương Trạch,Khuê Trung,cẩm lệ,2.25,100,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,20,1,"16.02201,108.20569"
 Bình Thái 1,Hòa Thọ Đông,cẩm lệ,1.5,66,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,16.5,1,"16.01414,108.20538"
 Triệu Quốc Đạt,Hòa Thọ Đông,cẩm lệ,2.25,80,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6,13.5,2,"16.0165,108.1989"
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2.05,56,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7,8,2,"16.0215783,108.21282"
 Hoàng Diệu,Nam Dương,hải châu,15,6,Không,Nhà mặt tiền,Không có,5.5,12,5,"16.05467,108.21737"
 Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,7.2,78,Không,Nhà mặt tiền,Không có,5.5,14.5,3,"16.03478,108.21788"
 Phước Mỹ 3,Phước Mỹ,sơn trà,7.3,66,Không,Nhà mặt tiền,Không có,4.1,16,3,"16.06687,108.24139"
 Tống Phước Phổ,Hòa Cường Bắc,hải châu,6.5,68,Không,Nhà mặt tiền,Không có,5,13.5,3,"16.04524,108.22224"
 Nguyễn Hữu Thọ,Hòa Cường Bắc,hải châu,16.5,125,Không,Nhà mặt tiền,Không có,5,25,4,"16.03954,108.21035"
 Nguyễn Tri Phương,Thạc Gián,thanh khê,14.2,125,Không,Nhà mặt tiền,Không có,5,24,4,"16.06071,108.20523"
 Dương Bích Liên,Hòa Minh,liên chiểu,3.995,70,Không,Nhà mặt tiền,Không có,5,14,2,"16.07324,108.17285"
 Phan Đăng Lưu,Hòa Cường Bắc,hải châu,16,100,Không,Nhà mặt tiền,Không có,5,20,5,"16.03665,108.21825"
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,100,450,Không,Nhà mặt tiền,Không có,15,30,14,"16.03954,108.21035"
 Nguyễn Lộ Trạch,Hòa Cường Nam,hải châu,9,11,Không,Nhà mặt tiền,Không có,5,22,3,"16.03258,108.22856"
 Nguyễn Tất Thành,Xuân Hà,thanh khê,13,90,Không,Nhà mặt tiền,Không có,4.5,20,6,"16.07765,108.17369"
 Núi Thành,Hòa Cường Bắc,hải châu,12,135,Không,Nhà mặt tiền,Không có,5.37,25,2,"16.03194,108.22279"
 Nguyễn Văn Linh,Vĩnh Trung,thanh khê,5.8,63,Không,Nhà trong hẻm,Không có,4.2,15,4,"16.05947,108.20843"
 Lý Tự Trọng,Thanh Bình,hải châu,9.8,105,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,5,"16.07853,108.21389"
 Nguyễn Văn Linh,Thạc Gián,thanh khê,4.09,55,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,11,1,"16.05947,108.20843"
 Trần Xuân Lê,An Khê,thanh khê,4.5,55,Không,Nhà trong hẻm,Không có,5,11,2,"16.059,108.18735"
